wwr,rotation,construction,FAR,canyon_width,urban_wwr,wall_albedo,canyon_factor,heat_emitted,avg_height,SCR,FSR,indoor_peak_OT,UHI_avg_temp,UHI_peak_temp
0.13575,353.615,2.815,2.22,23.84,0.915,0.045,0.275,7.09,79,0.15,0.81,25.909538,11.758426,26.141667
0.10325,346.435,3.445,2.98,34.88,0.565,0.295,0.705,8.17,122,0.15,1.36,25.996211,11.829018,26.25
0.23975,5.385,1.765,4.3,28.16,0.055,0.585,0.015,8.95,163,0.15,1.67,26.21463,11.767995,26.125
0.26575,339.255,3.355,1.78,11.84,0.405,0.675,0.795,4.69,63,0.12,0.52,26.265047,11.692567,26.145833
0.16825,314.125,3.055,3.14,20,0.175,0.145,0.595,9.19,120,0.14,1.13,26.280336,11.753565,26.2125
0.39575,19.745,3.385,1.42,49.76,0.595,0.435,0.645,4.63,40,0.16,0.47,26.291792,11.6979,26.120833
0.15525,16.155,1.375,3.5,32.48,0.945,0.925,0.455,9.91,63,0.15,1.75,26.316689,11.917972,26.341667
0.25925,8.975,2.005,4.06,20.48,0.855,0.355,0.285,8.59,160,0.1,1.52,26.329631,11.867553,26.229167
0.48025,1.795,3.085,1.06,33.44,0.885,0.685,0.935,6.13,40,0.1,0.44,26.347004,11.717067,26.170833
0.34375,321.305,2.935,1.9,10.4,0.715,0.735,0.225,4.27,62,0.1,0.5,26.445477,11.699832,26.104167
0.12275,357.205,3.865,3.22,44.96,0.955,0.775,0.535,4.33,102,0.16,1.14,26.448787,11.846272,26.254167
0.14875,52.055,2.155,2.82,47.84,0.115,0.175,0.405,5.59,107,0.12,1.1,26.500495,11.706437,26.145833
0.46725,350.025,1.915,4.02,8,0.515,0.005,0.755,4.99,19,0.11,0.9,26.513418,11.737274,26.183333
0.49325,328.485,3.295,4.66,19.52,0.145,0.275,0.955,6.85,66,0.15,2.32,26.568981,11.858031,26.408333
0.10975,224.375,1.075,1.02,21.92,0.895,0.115,0.255,5.77,40,0.15,0.4,26.582421,11.698067,26.095833
0.16175,55.645,2.455,4.22,13.28,0.465,0.445,0.965,7.69,127,0.12,1.08,26.60522,11.777557,26.2375
0.21375,292.585,1.015,2.34,9.44,0.435,0.935,0.175,7.93,64,0.1,0.5,26.617437,11.68586,26.095833
0.35675,30.515,1.405,4.46,43.04,0.745,0.215,0.505,6.37,135,0.15,1.49,26.620829,11.842129,26.2375
0.25275,324.895,1.585,4.26,36.32,0.725,0.975,0.555,8.89,164,0.16,1.84,26.658757,11.909105,26.333333
0.46075,335.665,1.705,4.94,16.16,0.575,0.875,0.975,9.01,61,0.13,1.42,26.685349,11.846087,26.308333
0.17475,59.235,1.735,1.26,19.04,0.015,0.595,0.045,6.91,39,0.14,0.37,26.714728,11.656348,26.054167
0.56475,26.925,2.755,3.02,32,0.155,0.915,0.305,5.05,22,0.15,1.31,26.748602,11.751385,26.158333
0.27875,73.595,2.965,3.82,14.24,0.135,0.745,0.615,8.11,27,0.1,1.09,26.761714,11.720092,26.166667
0.11625,41.285,3.505,2.54,16.64,0.505,0.965,0.105,9.67,0.96,0.1,0.86,26.766278,11.730285,26.120833
0.20075,238.735,1.165,4.74,6.08,0.455,0.785,0.675,9.55,148,0.1,1.08,26.769107,11.767972,26.216667
0.23325,192.065,1.285,1.94,15.2,0.735,0.035,0.525,4.93,64,0.1,0.56,26.833024,11.703849,26.1375
0.35025,34.105,3.925,2.14,48.32,0.905,0.815,0.725,5.41,71,0.12,0.67,26.847975,11.742493,26.2
0.18775,253.095,2.515,1.62,20.96,0.425,0.205,0.695,4.87,80,0.1,0.77,26.861295,11.722695,26.179167
0.62975,342.845,3.985,4.98,27.2,0.625,0.365,0.435,8.83,200,0.16,2.1,26.890131,11.898426,26.283333
0.68175,23.335,3.595,3.86,21.44,0.925,0.885,0.365,4.15,59,0.15,1.54,26.897896,11.887894,26.304167
0.18125,245.915,2.845,3.74,11.36,0.075,0.545,0.765,8.35,28,0.12,1.03,26.920998,11.720383,26.195833
0.57775,332.075,1.495,2.9,12.8,0.345,0.165,0.625,7.15,96,0.12,0.81,26.924,11.711121,26.166667
0.31125,267.455,1.315,4.62,41.12,0.535,0.395,0.685,7.03,169,0.15,1.82,26.9367,11.859771,26.266667
0.12925,195.655,3.415,2.5,46.88,0.215,0.315,0.095,4.39,107,0.12,1,26.950169,11.707073,26.108333
0.14225,127.445,3.025,3.94,38.72,0.865,0.855,0.825,4.03,35,0.14,1.43,26.959554,11.883528,26.333333
0.22025,306.945,1.645,2.66,22.4,0.325,0.655,0.125,6.67,120,0.1,1.17,26.967724,11.752533,26.133333
0.33725,120.265,1.045,3.54,2.24,0.985,0.835,0.325,6.79,118,0.1,0.78,26.972932,11.760852,26.175
0.72725,12.565,2.095,3.38,7.52,0.385,0.405,0.585,9.43,88,0.11,0.67,26.972991,11.700571,26.154167
0.47375,288.995,2.635,2.3,25.28,0.235,0.505,0.145,8.53,79,0.16,0.81,26.981421,11.707773,26.120833
0.29825,105.905,3.205,3.7,26.24,0.665,0.665,0.205,7.39,60,0.16,1.66,27.0013,11.866911,26.216667
0.30475,235.145,1.195,2.02,4.16,0.615,0.625,0.655,6.01,59,0.1,0.41,27.007083,11.688306,26.116667
0.20725,174.115,3.475,4.1,49.28,0.005,0.135,0.445,8.23,59,0.15,1.86,27.016407,11.77926,26.204167
0.28525,299.765,1.945,2.58,3.68,0.415,0.185,0.805,8.29,89,0.1,0.62,27.053226,11.695685,26.1625
0.40225,70.005,1.615,1.54,30.08,0.705,0.645,0.815,7.81,81,0.15,0.85,27.082164,11.767814,26.216667
0.71425,48.465,3.235,3.18,39.2,0.285,0.065,0.885,8.65,102,0.14,1.08,27.101245,11.755221,26.216667
0.61025,296.175,2.725,4.9,8.96,0.125,0.085,0.055,6.55,58,0.1,1.23,27.121542,11.728319,26.129167
0.69475,37.695,1.225,3.46,25.76,0.375,0.895,0.775,5.29,20,0.16,1.24,27.123112,11.796536,26.258333
0.36325,231.555,1.465,3.3,31.04,0.485,0.385,0.875,4.81,123,0.15,1.31,27.127293,11.812864,26.258333
0.42825,271.045,2.995,1.18,42.56,0.205,0.605,0.735,5.83,33,0.15,0.37,27.128883,11.668848,26.104167
0.45425,256.685,3.115,2.26,19.52,0.295,0.465,0.905,6.49,80,0.14,0.76,27.157236,11.717253,26.1875
0.27225,188.475,2.575,1.1,22.88,0.755,0.095,0.425,7.63,40,0.15,0.4,27.172764,11.69747,26.104167
0.32425,206.425,3.175,3.42,35.36,0.645,0.995,0.515,5.65,22,0.16,1.36,27.185144,11.830722,26.254167
0.51275,102.315,3.145,3.1,5.6,0.305,0.805,0.485,4.21,88,0.1,0.64,27.18789,11.68744,26.129167
0.52575,84.365,1.345,3.34,14.72,0.095,0.555,0.415,4.75,96,0.1,0.84,27.208368,11.694603,26.141667
0.48675,62.825,2.275,3.78,24.32,0.965,0.475,0.065,8.05,160,0.15,1.61,27.210968,11.885445,26.183333
