ID,year,use,floors,height,street facing,material,N %,S %,E %,W %,total_wwr,window_type,blinds,window_material
1,1910.00,Residential,4.00,12.00,Y,Concrete,,0.20,,,0.22,Punched,Y- blinds,Wood
2,1965.00,Museum,5.00,15.00,Y,Masonry,0.16,,0.19,,0.18,Punched,Y- blinds,Wood
3,1910.00,Restaurant,3.00,8.00,Y,Concrete,,,,0.11,0.11,Punched,Y- blinds,Wood
4,1910.00,Office,3.00,9.00,Y,Concrete,,,,0.22,0.22,Punched,N,Wood
5,1919.00,Residential,1.00,3.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,Wood
6,1910.00,Residential,1.00,3.00,Y,Concrete,,0.06,,,0.06,Punched,Y- blinds,Wood
7,1910.00,Residential,1.00,3.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Wood
8,1961.00,Residential,6.00,18.00,Y,Concrete,,,,0.22,0.22,Punched,Y- blinds,PVC
9,1919.00,Residential,4.00,11.00,Y,Concrete,,0.15,,0.18,0.17,Punched,Y- blinds,Wood
10,1910.00,Residential,2.00,7.00,Y,Concrete,0.13,,,,0.13,Punched,Y- blinds,PVC
11,1910.00,Residential,2.00,5.00,Y,Concrete,0.11,,,,0.11,Punched,N,PVC
12,1910.00,Residential,2.00,5.00,Y,Concrete,,,0.11,,0.11,Punched,Y- blinds,PVC
13,1946.00,Residential,3.00,10.00,Y,Concrete,,,,0.09,0.09,Punched,Y- blinds,PVC
14,1919.00,Residential,3.00,10.00,Y,Concrete,,,,0.16,0.16,Punched,Y- blinds,PVC
15,1919.00,Residential,3.00,10.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,PVC
16,1919.00,Residential,3.00,9.00,Y,Concrete,,,,0.12,0.12,Punched,Y- blinds,PVC
17,1919.00,Residential,3.00,10.00,Y,Concrete,,,,0.11,0.11,Punched,Y- blinds,PVC
18,1910.00,Residential,1.00,4.00,Y,Concrete,,,,0.07,0.07,Punched,Y- blinds,Wood
19,1910.00,Residential,1.00,2.00,Y,Concrete,,,,0.12,0.12,Punched,Y- blinds,Aluminum
20,1910.00,Residential,1.00,4.00,Y,Concrete,,,,0.09,0.09,Punched,N,Aluminum
21,1910.00,Residential,2.00,6.00,Y,Concrete,,,,0.22,0.22,Punched,Y- blinds,Wood
22,1910.00,Residential,2.00,6.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,PVC
23,1919.00,Residential,1.00,4.00,Y,Concrete,,,,0.12,0.12,Punched,Y- blinds,Aluminum
24,1919.00,Residential,1.00,4.00,Y,Concrete,,,,0.09,0.09,Punched,N,PVC
25,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.21,0.21,Punched,Y- blinds,Wood
26,1919.00,Residential,2.00,5.00,Y,Concrete,,,,0.19,0.19,Punched,Y- blinds,Wood
27,1919.00,Residential,1.00,3.00,Y,Concrete,,,,0.14,0.14,Punched,Y- blinds,PVC
28,1919.00,Residential,1.00,4.00,Y,Concrete,,,,0.19,0.19,Punched,Y- blinds,Aluminum
29,1961.00,Residential,4.00,11.00,Y,Concrete,0.15,,,,0.15,Punched,Y- blinds,Aluminum
30,1910.00,Residential,3.00,9.00,Y,Concrete,,,0.28,,0.28,Punched,Y- blinds,Wood
31,1991.00,Residential,3.00,8.00,Y,Concrete,,,0.08,,0.08,Punched,Y- blinds,Aluminum
32,1991.00,Residential,2.00,7.00,Y,Concrete,,,0.07,,0.07,Punched,Y- blinds,Aluminum
33,1946.00,Residential,5.00,15.00,Y,Concrete,,0.27,,,0.27,Grouped Punched,"Y- blinds, overhang",Aluminum
34,1991.00,Residential,4.00,13.00,Y,Concrete,,0.17,,,0.17,Punched,Y- blinds,Aluminum
35,1961.00,Office,1.00,3.00,Y,Concrete,,,0.22,,0.22,Ribbon,N,Aluminum
36,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.06,0.06,Punched,Y- blinds,PVC
37,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.07,0.07,Punched,Y- blinds,Aluminum
38,1910.00,Residential,3.00,10.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,PVC
39,2012.00,Residential,2.00,7.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,PVC
40,1991.00,Residential,3.00,8.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Aluminum
41,1919.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
42,1919.00,Residential,2.00,5.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,PVC
43,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
44,1919.00,Residential,2.00,7.00,Y,Concrete,,,0.09,,0.09,Punched,Y- blinds,PVC
45,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.07,,0.07,Punched,Y- blinds,PVC
46,1946.00,Residential,4.00,13.00,Y,Concrete,0.33,,,,0.33,Grouped Punched,N,Aluminum
47,1946.00,Residential,3.00,9.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,PVC
48,1961.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Wood
49,1946.00,Office,4.00,12.00,Y,Concrete,,,0.10,,0.10,Punched,Y- blinds,Aluminum
50,1946.00,Residential,5.00,15.00,Y,Concrete,,,,0.53,0.53,Grouped Punched,N,PVC
51,1946.00,Residential,5.00,15.00,Y,Concrete,,,0.13,,0.13,Punched,"Y- blinds, overhang",PVC
52,1946.00,Residential,4.00,12.00,Y,Concrete,,,0.19,,0.19,Punched,Y- blinds,PVC
53,1946.00,Residential,5.00,16.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,PVC
54,1946.00,Residential,5.00,16.00,Y,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
55,1946.00,Residential,4.00,12.00,Y,Concrete,,0.31,,,0.31,Grouped Punched,"Y- blinds, overhang",PVC
56,1946.00,Residential,6.00,18.00,Y,Concrete,,0.31,,,0.31,Grouped Punched,Y- blinds,PVC
57,1946.00,Residential,4.00,11.00,Y,Concrete,,,,0.41,0.41,Grouped Punched,"Y- blinds, overhang",PVC
58,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,PVC
59,1946.00,Residential,2.00,7.00,Y,Concrete,,,0.17,,0.17,Punched,Y- blinds,Wood
60,1946.00,Residential,2.00,6.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,Aluminum
61,1946.00,Residential,2.00,7.00,Y,Concrete,,0.09,,,0.09,Punched,Y- blinds,Aluminum
62,1946.00,Residential,2.00,6.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,Aluminum
63,1946.00,Residential,2.00,6.00,Y,Concrete,0.08,,,,0.08,Punched,Y- blinds,PVC
64,1946.00,Residential,2.00,6.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,PVC
